	alpha0	alpha7	alpha14	alpha21	alpha28	alpha35	alpha42	alpha49	alpha56	alpha63	alpha70	alpha77	alpha84	alpha91	alpha98	alpha105	alpha112	alpha119
YLR019W	0.01	-0.02	0.11	-0.02	-0.04	-0.27	0.09	-0.09	-0.11	0.16	-0.08	-0.02	0.08	-0.17	0.14	-0.11	0.4	-0.04
YLR018C	-0.18	-0.18	0.13	0.44	0.13	0.06	0.11	-0.08	-0.13	0.08	-0.08	0.19	-0.06	0.09	-0.25	-0.16	0.0	-0.13
YLR017W	0.17	-0.44	-0.39	-0.18	0.17	-0.05	0.41	0.03	0.11	0.06	-0.03	0.04	0.36	-0.22	0.28	-0.14	-0.17	-0.2
YLR016C	0.16	-0.14	-0.13	-0.18	0.29	0.08	0.23	0.11	0.05	0.32	-0.16	-0.07	-0.06	-0.06	-0.23	-0.23	0.25	-0.23
YLR015W	0.16	-0.41	-0.28	-0.07	0.16	-0.24	0.4	0.16	0.05	0.13	-0.18	0.13	0.19	-0.45	-0.05	-0.12	0.41	-0.03
YLR014C	-0.05	-0.115	-0.18	0.08	0.03	-0.14	0.05	0.19	-0.01	0.13	-0.08	0.02	-0.2	-0.13	0.06	-0.11	0.45	-0.09
YLR013W	0.34	-0.16	0.24	0.07	0.03	-0.03	0.35	-0.03	0.14	-0.13	-0.15	-0.39	0.35	-0.39	-0.16	-0.02	-0.22	0.16
YLR012C	0.18	0.2	0.38	-0.35	0.24	0.2	0.2	0.38	0.24	0.01	-0.33	-0.04	0.18	-0.11	-0.19	-0.11	-1.13	0.07
YLR011W	0.26	-0.32	0.24	-0.22	0.29	-0.24	0.24	0.27	0.31	0.08	0.24	-0.22	-0.06	-0.48	0.04	-0.27	0.15	-0.3
YLR010C	0.33	0.28	0.23	-0.03	0.27	-0.1	0.23	0.0	0.05	-0.07	-0.39	0.03	0.25	-0.12	-0.03	-0.3	-0.21	-0.14
YLR009W	0.28	-0.96	-0.6	-0.26	0.33	-0.35	0.29	0.43	0.28	0.08	0.23	-0.15	0.04	0.0	0.03	0.06	0.38	-0.13
YLR008C	0.1	-0.15	-0.21	0.0	0.19	-0.04	0.35	-0.06	0.1	0.17	-0.09	-0.13	0.11	-0.42	0.17	-0.21	0.19	-0.09
YLR007W	0.18	0.225	0.27	-0.09	0.19	-0.18	0.33	-0.04	0.15	-0.09	-0.16	-0.09	0.21	-0.25	-0.2	-0.39	0.21	-0.05
YLR006C	-0.19	0.12	-0.21	-0.05	-0.1	0.29	0.02	-0.12	0.02	0.28	-0.01	0.05	-0.17	0.01	-0.17	0.36	0.05	-0.19
YLR005W	-0.19	0.19	0.05	0.38	0.0	0.19	0.06	0.15	0.0	-0.06	-0.06	-0.05	0.09	-0.21	-0.11	-0.03	-0.32	-0.06
YLR004C	-0.35	-0.01	-0.26	-0.14	0.13	0.25	-0.07	0.09	0.22	0.44	0.1	-0.24	0.02	-0.05	-0.085	-0.12	0.22	-0.18
YLR003C	0.16	-0.24	-0.68	-0.07	-0.24	0.12	0.22	0.25	0.49	0.09	0.0	-0.36	0.04	-0.01	-0.03	-0.01	-0.01	0.28
YLR002C	0.16	-0.66	-0.64	-0.34	-0.08	0.22	0.04	0.06	0.35	0.58	0.335	0.09	-0.14	-0.02	-0.17	0.29	0.14	0.11
YLR001C	-0.01	0.18	0.01	0.18	-0.01	-0.2	0.09	-0.26	-0.01	-0.11	0.11	-0.08	0.18	-0.08	0.24	0.15	-0.33	-0.06
YLL067C	-0.76	-0.09	0.68	0.7	-0.1	-0.04	-0.29	-0.53	-0.2	0.35	0.55	0.75	0.06	-0.07	0.02	0.15	-0.35	-0.27
YLL066C	-0.42	-0.32	0.59	0.54	0.38	-0.06	-0.73	-0.09	-0.07	-0.15	1.35	0.31	-0.12	-0.17	0.17	0.24	-0.68	-0.79
YLL065W	-0.11	0.3	0.3	0.42	-0.25	0.14	-0.01	-0.28	0.02	-0.05	0.02	0.04	0.27	-0.28	-0.32	-0.01	-0.11	-0.11
YLL064C	0.1	-0.08	0.3	0.17	0.39	-0.2	-0.29	0.04	0.1	-0.41	0.74	-0.31	0.18	-0.18	0.35	0.07	-0.41	-0.54
YLL063C	0.01	-0.25	0.4	0.06	-0.4	0.2	0.13	0.17	0.06	-0.36	-0.12	0.05	0.05	0.03	-0.035	-0.068	-0.1	0.08
YLL062C	-0.12	-0.16	0.24	-0.18	0.05	0.34	0.55	0.35	0.03	-0.09	0.16	-0.27	-0.43	-0.4	-0.05	-0.06	0.19	-0.14
YLL061W	0.11	0.11	-0.08	-0.78	-0.16	0.25	1.34	0.25	0.3	-0.06	-0.1	-0.26	-0.16	-0.83	0.07	-0.16	0.41	-0.24
YLL060C	0.08	-0.03	0.38	0.1	0.12	0.04	0.18	0.12	0.03	-0.03	-0.09	-0.06	-0.19	-0.38	-0.33	-0.06	0.15	-0.02
YLL059C	0.1	0.49	0.18	0.32	0.04	0.16	0.03	0.1	-0.04	0.2	-0.11	0.0	0.03	-0.33	-0.17	-0.26	-0.47	-0.26
YLL058W	-0.22	-0.55	0.09	0.15	0.59	0.43	0.25	0.12	-0.17	-0.4	0.13	-0.31	-0.24	0.02	0.39	0.17	0.23	-0.69
YLL057C	0.34	0.16	0.27	-0.55	0.36	0.01	0.25	0.04	-0.06	0.04	-0.2	-0.09	0.22	-0.31	-0.02	-0.27	0.07	-0.27
YLL056C	0.25	-0.07	0.43	-0.13	0.18	-0.19	0.17	0.08	0.1	-0.07	0.24	-0.24	-0.05	-0.17	-0.05	-0.06	-0.07	-0.42
YLL055W	0.3	0.75	0.33	-0.14	0.06	-0.16	0.1	-0.1	-0.01	0.11	-0.25	-0.12	0.19	-0.43	-0.27	-0.34	-0.185	-0.03
YLL054C	0.1	-0.45	0.01	-0.12	0.33	0.15	0.21	-0.01	0.05	-0.18	0.18	-0.2	-0.05	-0.1	0.27	-0.12	0.17	-0.24
YLL053C	-0.11	0.07	0.02	-0.03	0.33	-0.01	0.07	-0.08	0.1	-0.03	-0.18	-0.18	0.21	0.01	0.28	-0.33	0.17	-0.31
YLL052C	-0.24	-0.34	-0.15	-0.02	0.21	0.19	0.15	0.33	-0.07	-0.08	0.35	-0.18	-0.23	-0.12	0.22	0.11	0.35	-0.47
YLL051C	0.08	-0.86	-0.47	-0.2	0.22	0.09	0.47	0.28	0.27	-0.12	-0.13	-0.24	0.1	-0.13	0.24	0.02	0.31	0.05
YLL050C	0.17	-0.01	0.29	0.3	0.35	0.07	-0.18	0.07	0.13	-0.26	0.34	-0.5	-0.03	-0.24	0.22	0.03	-0.21	-0.54
YLL049W	0.29	-0.18	-0.24	0.03	-0.35	0.23	0.01	0.23	0.1	-0.24	-0.14	-0.06	0.2	-0.2	0.08	0.03	0.2	0.01
YLL048C	0.14	-0.48	0.1	-0.21	-0.07	-0.01	0.03	0.03	-0.01	-0.07	0.05	0.09	0.0	-0.02	0.24	-0.04	0.19	0.05
YLL047W	0.02	0.05	-0.17	-0.245	-0.32	0.24	-0.04	0.24	0.3	0.36	-0.22	-0.08	-0.13	-0.335	-0.54	0.26	-0.15	0.47
YLL046C	0.32	-0.1	0.36	-0.04	-0.09	0.06	-0.17	0.22	0.09	-0.45	-0.165	0.12	-0.07	-0.12	-0.21	0.26	-0.17	0.0
YLL045C	-0.06	-0.17	-0.51	0.01	-0.21	-0.05	0.06	-0.12	0.3	-0.06	0.01	-0.08	0.13	0.0	0.3	0.14	0.0	0.29
YLL044W	0.07	-0.27	-0.1	-0.2	0.14	-0.2	-0.23	-0.03	0.2	-0.17	0.6	-0.15	0.0	-0.07	0.39	0.46	-0.09	-0.36
YLL043W	0.19	0.48	-0.27	0.0	-0.12	0.1	0.2	0.06	0.12	-0.21	-0.29	-0.09	0.03	-0.19	-0.04	0.04	-0.16	0.15
YLL042C	0.22	-0.3	0.22	-0.04	0.06	-0.065	-0.19	-0.02	0.07	-0.19	0.35	0.02	0.04	-0.07	-0.15	0.22	-0.21	-0.05
YLL041C	0.11	0.35	0.16	0.14	-0.45	0.18	0.18	-0.35	-0.3	0.26	-0.06	-0.02	0.19	-0.4	-0.06	0.09	-0.06	0.04
YLL040C	0.01	-0.07	-0.04	0.34	0.27	-0.32	-0.57	-0.16	0.39	0.2	0.15	-0.29	0.02	-0.21	0.64	-0.25	-0.1	-0.02
YLL039C	0.23	0.32	-0.13	-0.09	-0.19	-0.41	0.03	-0.12	0.1	0.16	0.0	-0.31	-0.01	-0.18	0.16	0.45	-0.1	0.09
YLL038C	0.11	-0.49	-0.03	-0.34	0.36	-0.28	0.29	-0.1	0.09	-0.1	0.22	-0.24	0.01	-0.03	0.36	0.11	0.3	-0.22
YLL037W	0.04	-0.49	-0.36	-0.02	0.04	0.18	0.35	0.28	0.15	0.23	-0.27	-0.02	0.25	-0.27	0.09	-0.12	-0.09	-0.06
YLL036C	0.11	-0.47	-0.04	-0.47	0.37	-0.12	0.42	-0.04	0.19	0.37	-0.16	-0.29	-0.04	-0.24	0.24	0.15	0.31	-0.29
YLL035W	-0.03	0.06	-0.44	-0.2	0.03	-0.14	0.32	0.06	0.11	0.03	-0.02	-0.18	0.3	-0.09	0.13	-0.09	0.19	-0.05
YLL034C	-0.07	-0.5	-0.36	-0.33	0.74	-0.16	0.57	-0.18	0.55	-0.05	0.23	-0.4	0.33	-0.18	0.37	0.12	0.0	-0.69
YLL033W	-0.07	-0.66	-0.42	-0.55	0.16	0.01	0.5	0.15	0.38	0.23	-0.17	-0.09	-0.11	-0.09	0.2	0.08	0.45	0.01
YLL032C	0.15	-0.98	-0.6	-0.8	-0.12	0.27	0.62	0.47	0.49	0.05	-0.16	-0.56	-0.28	0.22	0.39	0.27	0.44	0.13
YLL031C	-0.22	-0.15	-0.14	-0.28	0.15	-0.04	0.43	0.11	0.02	-0.06	0.04	-0.52	0.02	-0.1	0.57	0.12	0.07	-0.01
YLL030C	0.36	-0.16	0.12	-0.11	0.205	0.52	0.24	0.19	-0.06	-0.12	-0.38	-0.23	-0.18	-0.14	0.0	0.0	0.23	-0.28
YLL029W	-0.17	-0.29	-0.15	-0.22	0.03	-0.27	0.2	0.01	0.29	0.1	0.17	0.1	0.04	-0.27	0.12	0.2	0.27	-0.17
YLL028W	1.0	1.06	0.97	-0.19	0.01	0.01	0.22	-0.11	0.51	0.13	-0.05	-0.83	-0.87	-1.01	-0.5	-0.59	0.25	0.01
YLL027W	0.14	0.04	-0.12	-0.2	0.24	0.13	0.34	-0.01	0.04	0.13	-0.18	-0.33	0.09	-0.16	-0.12	-0.16	0.16	0.01
YLL026W	0.11	0.58	0.85	0.5	0.24	-0.1	-0.17	-0.11	-0.06	-0.38	0.5	-0.14	-0.31	-0.52	0.2	0.24	-0.73	-0.7
YLL025W	0.01	0.15	0.07	0.19	0.15	0.18	-0.02	-0.27	0.08	-0.29	-0.06	0.07	0.37	-0.11	-0.04	-0.09	-0.27	-0.09
YLL024C	-0.02	-0.38	-0.04	0.18	0.32	0.2	0.17	0.17	0.28	-0.2	0.27	-0.14	-0.26	-0.23	0.14	0.33	-0.54	-0.26
YLL023C	0.22	-0.54	-0.14	-0.26	-0.14	-0.06	0.22	0.14	0.27	-0.1	0.22	-0.12	0.11	-0.18	0.27	-0.04	0.34	-0.2
YLL022C	-0.66	-0.175	0.31	0.57	0.39	0.21	-0.02	-0.08	-0.27	-0.51	0.07	0.42	0.39	0.12	0.04	0.0	-0.47	-0.51
YLL021W	-0.71	-0.525	-0.34	0.49	0.36	0.03	-0.06	-0.03	-0.01	-0.08	0.08	0.08	0.27	-0.24	-0.05	0.65	-0.36	-0.08
YLL020C	-0.11	0.46	0.11	0.31	0.09	0.18	-0.25	0.22	-0.17	-0.3	0.0	0.07	-0.14	-0.12	-0.07	-0.06	-0.06	-0.16
YLL019C	-0.23	0.09	0.09	0.46	-0.25	0.02	-0.34	-0.09	-0.23	-0.01	0.01	0.21	0.22	0.095	-0.03	0.22	-0.21	0.06
YLL018C	0.28	0.02	0.03	-0.12	0.01	-0.02	0.05	-0.09	-0.06	-0.03	-0.03	0.02	-0.07	0.12	-0.13	-0.13	-0.09	0.25
YLL017W	0.11	0.19	0.0	0.27	0.01	0.23	0.14	0.2	0.05	0.19	-0.32	0.16	0.01	-0.37	-0.63	-0.16	-0.13	0.05
YLL016W	0.03	0.03	0.15	0.08	0.01	-0.16	-0.03	-0.16	0.11	-0.28	0.32	-0.05	-0.1	-0.18	0.54	0.04	-0.26	0.0
YLL015W	0.11	0.0	0.0	-0.035	-0.053	-0.07	-0.22	-0.13	-0.04	0.16	0.39	0.205	0.02	-0.05	0.05	0.15	-0.67	0.22
YLL014W	0.2	-0.09	0.07	0.06	0.22	0.59	0.26	0.07	-0.02	-0.21	-0.18	-0.43	-0.02	-0.43	0.2	-0.35	0.51	-0.45
YLL013C	-0.07	0.0	-0.49	0.29	-0.31	0.27	-0.05	0.04	-0.15	0.11	-0.37	0.39	-0.05	-0.07	-0.31	0.48	-0.05	0.34
YLL012W	-0.4	-0.64	0.32	0.39	0.27	0.62	0.68	-0.11	-0.13	-0.42	-0.4	-0.2	0.23	-0.2	0.34	0.07	-0.02	-0.42
YLL011W	0.42	-0.69	-0.66	-0.25	-0.05	-0.02	0.45	-0.02	0.29	0.22	0.13	0.13	0.39	-0.3	-0.13	0.0	0.02	0.09
YLL010C	0.01	-0.1	-0.19	-0.22	-0.25	0.36	0.16	0.15	-0.3	0.29	-0.23	-0.13	-0.04	-0.13	0.12	0.07	0.33	-0.11
YLL009C	0.18	0.19	0.08	0.09	-0.02	0.05	0.36	0.1	0.13	0.05	-0.02	-0.35	0.13	-0.55	-0.05	-0.09	-0.16	-0.13
YLL008W	0.19	-0.92	-0.81	-0.37	0.08	0.13	0.52	0.11	0.31	0.13	0.03	-0.1	0.13	0.05	0.19	0.06	0.26	0.02
YLL007C	0.07	0.085	0.1	-0.64	0.12	-0.03	0.19	-0.09	0.1	0.13	-0.02	0.15	-0.03	-0.24	0.19	-0.09	0.05	0.05
YLL006W	-0.11	-0.18	0.26	-0.2	0.21	0.03	0.32	-0.08	0.19	0.04	-0.09	-0.13	-0.09	-0.26	0.1	-0.08	0.24	-0.17
YLL005C	-0.15	-0.04	0.2	-0.52	0.02	-0.09	0.15	0.07	0.14	0.31	0.02	0.07	-0.11	-0.13	0.02	0.05	0.035	0.02
YLL004W	-0.1	-0.48	-0.24	-0.2	0.3	0.25	0.47	-0.01	0.12	-0.1	0.0	-0.26	0.15	-0.32	0.4	-0.01	0.23	-0.2
YLL003W	-0.03	0.0	-0.01	0.095	0.2	-0.35	0.23	-0.18	0.04	0.0	0.43	-0.16	0.15	-0.21	-0.085	0.04	-0.055	-0.15
YLL002W	-0.7	-0.17	0.63	0.64	0.13	0.03	-0.07	-0.3	-0.11	-0.23	0.3	0.51	0.28	-0.07	0.1	-0.12	-0.38	-0.42
YLL001W	-0.41	-0.08	-0.11	-0.32	-0.17	0.42	0.34	0.05	0.17	0.34	-0.05	-0.1	-0.11	-0.11	-0.03	0.26	-0.13	0.05
YKR106W	0.29	0.16	-0.09	0.17	0.11	-0.04	-0.17	0.14	0.13	-0.09	0.08	-0.06	-0.01	-0.24	0.13	-0.08	-0.15	-0.28
YKR105C	-0.24	-0.065	0.11	-0.31	-0.42	-0.17	-0.13	0.28	0.13	0.25	0.23	-0.22	0.25	-0.07	0.095	0.26	-0.17	0.21
YKR104W	-0.23	0.37	0.13	0.09	0.24	-0.17	-0.17	-0.39	0.03	-0.2	0.27	-0.1	0.54	-0.28	0.27	0.27	-0.43	-0.25
YKR103W	-0.21	1.07	0.2	0.215	0.223	0.23	-0.16	-0.03	-0.23	0.25	-0.23	-0.11	0.01	-0.01	-0.03	-0.35	-0.51	0.0
YKR102W	-0.2	0.21	-0.04	0.07	-0.11	-0.29	-0.04	0.36	-0.07	-0.04	0.03	-0.03	-0.09	-0.27	0.7	0.22	-0.22	-0.2
YKR101W	-0.64	-0.37	-0.1	0.2	-0.02	-0.04	-0.04	-0.28	-0.02	0.39	-0.15	0.04	0.39	0.25	0.105	-0.04	-0.24	0.3
YKR100C	0.0	-0.16	0.07	0.21	0.21	0.15	0.06	-0.04	0.04	-0.35	0.07	0.1	0.03	-0.19	-0.01	0.24	-0.21	-0.23
YKR099W	0.0	-0.02	-0.26	-0.5	-0.47	-0.17	0.12	0.25	0.33	0.54	0.14	0.08	0.23	-0.36	-0.65	0.23	-0.21	0.47
YKR098C	0.19	0.56	0.5	0.05	-0.32	-0.34	-0.3	-0.13	0.17	0.08	0.26	0.04	-0.04	-0.43	-0.18	0.02	-0.15	0.02
YKR097W	0.02	0.19	-0.61	0.3	-0.39	0.33	0.0	0.16	-0.12	0.41	-0.12	0.16	0.14	-0.25	-0.42	0.12	-0.14	0.22
YKR096W	0.05	0.16	-0.29	0.0	0.06	-0.34	0.02	0.06	0.04	0.02	0.38	-0.31	-0.03	-0.13	0.93	-0.04	-0.24	-0.31
YKR095W	0.11	0.07	0.03	0.18	0.33	-0.18	0.17	0.115	0.06	0.06	-0.07	-0.05	0.05	-0.22	-0.05	-0.13	-0.24	0.14
YKR094C	0.27	-0.21	0.0	-0.06	0.11	-0.27	0.14	-0.07	-0.13	0.05	-0.07	-0.31	0.17	-0.23	0.32	-0.18	0.49	-0.03
YKR093W	0.4	0.14	0.14	0.115	0.09	-0.25	0.14	-0.47	-0.06	0.07	0.11	0.04	0.26	-0.31	0.04	-0.22	-0.06	-0.06
YKR092C	0.04	-1.37	-0.83	-0.32	0.47	0.14	0.63	0.19	0.29	0.07	0.09	-0.19	0.11	-0.02	0.27	0.06	0.47	-0.11
YKR091W	1.26	0.46	0.51	0.27	0.03	-0.04	0.05	-0.43	-0.46	-0.22	-0.17	-0.14	0.02	-0.22	-0.01	-0.28	-0.09	-0.27
YKR090W	-0.49	-0.54	-0.07	0.48	0.31	0.06	0.18	-0.18	-0.34	-0.07	0.12	0.44	0.31	-0.07	0.28	-0.18	0.12	-0.36
YKR089C	0.25	0.12	0.1	-0.53	-0.12	-0.16	0.18	-0.18	0.07	0.3	0.08	0.0	0.07	-0.18	0.05	-0.12	-0.02	0.1
YKR088C	0.2	-0.25	0.05	-0.07	0.37	-0.03	0.55	0.01	0.06	-0.19	-0.1	-0.29	0.06	-0.09	0.2	-0.19	0.01	-0.29
YKR087C	0.08	0.08	0.22	-0.37	-0.03	-0.13	0.23	0.2	0.05	-0.03	-0.05	-0.03	0.2	-0.25	0.02	-0.27	0.08	0.02
YKR086W	0.23	0.05	0.14	-0.04	0.11	-0.42	0.13	-0.11	0.05	-0.19	0.16	0.13	-0.04	-0.27	0.26	-0.09	0.0	-0.13
YKR085C	0.05	-0.06	0.13	-0.44	0.1	-0.1	0.31	0.06	0.15	0.18	-0.02	0.1	0.1	-0.24	-0.01	-0.2	-0.01	-0.12
YKR084C	0.04	-0.035	-0.11	0.04	0.08	-0.14	-0.08	-0.01	0.13	-0.16	0.27	0.18	0.09	-0.11	0.02	0.16	-0.32	-0.06
YKR083C	0.0	-0.08	-0.06	-0.04	-0.15	0.4	-0.25	0.03	0.01	0.31	-0.09	-0.17	0.25	-0.09	-0.11	0.05	0.05	-0.09
YKR082W	-0.07	-0.18	-0.58	-0.27	-0.03	-0.11	0.08	0.27	0.26	-0.07	0.3	-0.16	0.01	-0.06	0.42	0.56	-0.29	-0.09
YKR081C	0.0	-0.31	-0.9	-0.27	-0.29	0.12	0.23	0.23	0.47	0.68	0.355	0.03	0.1	-0.41	-0.22	0.1	0.07	0.36
YKR080W	-0.2	0.82	0.24	-0.29	-0.39	-0.33	0.17	0.07	0.48	-0.44	0.08	-0.31	-0.13	-0.37	0.11	0.34	0.05	0.1
YKR079C	-0.1	0.07	-0.76	-0.15	-0.21	-0.19	0.12	0.12	0.29	0.43	0.24	0.24	0.06	-0.01	-0.31	0.07	-0.21	0.29
YKR078W	0.09	0.28	-0.3	-0.26	-0.02	-0.17	-0.05	0.09	0.26	0.01	0.14	0.04	0.07	-0.19	-0.08	0.11	-0.08	0.06
YKR077W	-0.48	0.56	1.36	0.65	-0.14	0.04	-0.58	-0.56	-0.75	0.45	0.71	0.55	0.02	-0.455	-0.93	-0.07	-0.39	-0.44
YKR076W	0.25	0.22	0.51	0.77	0.16	0.23	0.0	0.14	-0.09	-0.41	-0.07	-0.27	0.05	-0.35	-0.37	-0.15	-0.21	-0.41
YKR075C	0.14	0.14	0.96	-0.09	-0.42	-0.16	-0.12	0.18	0.24	0.34	-0.2	-0.11	0.14	-0.12	-0.64	0.04	-0.16	-0.14
YKR074W	0.31	0.15	0.15	0.31	-0.09	-0.03	-0.07	-0.2	0.14	-0.18	0.13	-0.1	0.26	-0.35	0.0	-0.09	-0.16	-0.2
YKR073C	0.06	0.17	0.09	-0.15	-0.39	0.04	0.16	0.19	0.17	0.24	-0.12	-0.29	-0.27	-0.11	-0.04	0.2	-0.11	0.0
YKR072C	0.4	0.05	-0.18	-0.03	-0.23	-0.02	0.0	0.17	0.01	0.0	-0.06	0.0	-0.15	0.08	-0.18	-0.04	0.24	-0.04
YKR071C	0.25	-0.07	-0.11	-0.49	0.05	-0.09	0.45	0.08	0.13	0.12	-0.11	0.0	0.1	-0.02	0.02	-0.26	-0.07	0.0
YKR070W	0.23	-0.27	0.14	-0.09	0.24	-0.03	0.34	-0.11	0.05	-0.23	-0.02	-0.07	0.14	-0.23	0.09	-0.17	0.14	-0.15
YKR069W	-0.02	0.24	-0.21	-0.64	0.12	0.14	0.76	0.09	0.12	0.09	-0.14	-0.19	-0.08	-0.33	0.02	0.12	-0.02	-0.08
YKR068C	0.03	0.01	-0.01	-0.02	0.25	0.05	0.41	0.01	0.01	-0.27	-0.11	-0.21	0.16	-0.43	0.14	-0.04	0.26	-0.23
YKR067W	-0.15	0.6	0.54	-0.36	0.1	-0.31	0.15	-0.17	0.0	-0.07	-0.03	0.09	-0.05	-0.21	-0.05	-0.13	0.09	-0.03
YKR066C	0.02	-0.08	0.42	0.04	0.23	-0.25	0.27	-0.17	-0.03	0.13	0.1	0.08	0.17	-0.27	-0.05	-0.35	0.05	-0.31
YKR065C	0.24	0.16	0.22	-0.32	0.22	-0.21	0.36	-0.1	0.12	0.03	-0.1	-0.21	0.14	-0.32	-0.04	-0.25	0.17	-0.08
YKR064W	0.05	-0.4	0.1	0.0	0.12	0.07	0.34	0.12	-0.05	-0.09	-0.19	-0.04	0.18	-0.31	-0.05	0.05	0.15	-0.02
YKR063C	0.08	-0.3	-0.28	-0.34	0.11	-0.26	0.27	-0.02	0.13	0.22	-0.14	0.03	0.1	-0.02	-0.14	-0.01	0.27	0.28
YKR062W	0.17	0.07	0.04	0.11	-0.12	-0.12	0.07	-0.06	-0.02	0.08	-0.01	0.01	0.02	-0.26	0.1	-0.12	0.1	-0.06
YKR061W	1.33	0.72	-0.15	-0.61	-0.04	-0.27	0.03	-0.13	0.01	0.07	-0.27	-0.29	-0.11	-0.21	-0.34	0.0	0.11	0.16
YKR060W	0.28	-0.03	-0.34	-0.27	0.04	-0.23	0.31	0.13	0.43	0.1	-0.12	0.02	0.25	-0.17	-0.12	0.17	-0.29	-0.19
YKR059W	0.22	0.1	-0.19	-0.07	-0.16	0.14	-0.05	0.1	-0.06	0.1	-0.09	-0.01	-0.06	-0.14	0.04	0.06	-0.02	0.08
YKR058W	1.87	0.39	0.19	-0.16	-0.38	-0.14	-0.17	-0.02	-0.17	-0.31	-0.05	-0.05	-0.16	-0.06	-0.16	0.11	-0.54	-0.21
YKR057W	-0.04	0.15	-0.34	0.04	-0.27	0.04	-0.23	-0.07	0.14	0.45	0.0	-0.04	0.21	-0.41	0.2	-0.04	0.09	0.12
YKR056W	0.3	-0.48	-0.53	-0.18	-0.06	-0.12	0.21	0.34	0.4	-0.18	0.0	0.15	0.3	0.04	0.04	0.22	0.05	-0.36
YKR055W	-0.1	-0.12	-0.46	-0.36	0.01	0.36	0.08	0.21	0.28	0.39	-0.21	0.2	-0.03	-0.1	-0.27	0.1	0.08	-0.05
YKR054C	-0.16	-0.54	-0.22	-0.29	-0.07	-0.36	0.02	0.01	0.42	0.25	0.3	-0.07	-0.05	-0.13	0.33	0.22	0.2	0.17
YKR053C	-0.4	-0.36	-0.4	-0.31	-0.21	0.13	0.0	-0.17	0.26	0.42	0.36	0.37	0.24	-0.19	-0.06	0.29	-0.06	0.1
YKR052C	-0.13	-0.1	0.09	0.03	-0.13	0.1	0.0	0.23	0.26	-0.04	0.01	-0.11	-0.06	-0.19	-0.08	0.06	0.02	0.05
YKR051W	-0.34	-0.13	-0.46	-0.27	-0.13	0.36	0.05	0.02	0.24	0.61	-0.02	0.03	0.03	-0.25	-0.05	0.21	-0.11	0.2
YKR050W	0.26	-0.44	-0.09	-0.16	-0.1	0.1	0.22	0.04	-0.03	-0.04	0.0	-0.06	-0.12	-0.04	0.15	0.13	0.22	-0.04
YKR049C	0.07	0.06	0.09	-0.03	0.06	0.2	-0.03	-0.09	-0.01	0.26	-0.18	0.3	-0.16	-0.36	-0.22	0.25	-0.32	0.12
YKR048C	0.19	-0.3	0.03	-0.13	0.12	-0.22	0.46	0.04	0.32	0.07	0.09	-0.17	-0.1	-0.5	0.0	-0.07	0.21	-0.03
YKR047W	0.2	0.05	0.07	-0.21	-0.29	-0.16	0.38	-0.06	0.27	0.1	-0.06	-0.02	-0.07	-0.18	-0.14	-0.18	0.23	0.05
YKR046C	0.17	-0.09	0.01	-0.19	0.1	-0.19	0.56	0.14	0.16	0.0	-0.09	-0.23	0.13	-0.35	0.2	-0.04	-0.27	-0.04
YKR045C	-0.04	0.01	-0.15	-0.04	0.06	0.27	0.27	0.115	-0.04	0.04	-0.23	0.06	-0.08	-0.06	-0.17	-0.04	0.03	0.12
YKR044W	0.01	-0.52	-0.18	-0.04	0.31	-0.05	0.5	0.35	0.08	0.0	-0.2	-0.26	0.05	-0.13	0.11	-0.04	0.16	-0.14
YKR043C	0.17	0.67	-0.07	-0.31	0.04	-0.4	0.33	-0.38	0.21	-0.04	0.53	-0.4	0.25	-0.53	0.1	-0.08	0.04	-0.13
YKR042W	1.25	0.67	0.64	0.3	0.39	-0.3	0.41	-0.1	0.42	0.26	0.01	-0.77	-0.65	-1.07	-0.43	-0.77	-0.01	-0.27
YKR041W	-0.4	-0.04	-0.16	-0.28	0.25	-0.1	0.35	0.34	0.07	0.15	-0.35	-0.06	-0.16	-0.16	0.03	0.14	0.32	0.05
YKR040C	-0.17	0.12	-0.46	-0.06	0.03	0.37	0.2	0.43	0.0	0.05	-0.48	-0.21	-0.345	-0.48	0.0	-0.02	0.78	-0.09
YKR039W	-0.06	1.34	0.23	-0.2	-0.04	-0.07	0.17	0.095	0.02	-0.31	-0.83	-0.04	-0.12	-0.06	0.0	0.06	0.21	-0.29
YKR038C	-0.02	-0.18	0.05	-0.25	0.21	-0.14	0.36	-0.18	0.0	0.0	-0.06	0.11	0.27	-0.22	0.09	-0.02	0.18	-0.2
YKR037C	-0.07	-0.53	-0.11	0.06	0.11	-0.04	0.19	0.175	0.16	0.03	-0.11	0.11	0.11	-0.18	0.13	0.1	0.16	-0.11
YKR036C	0.03	-0.15	-0.16	0.01	-0.2	0.19	-0.02	0.12	0.22	-0.06	-0.11	-0.18	0.04	-0.02	0.01	0.37	-0.13	0.04
YKR035C	-0.09	0.28	-0.19	0.11	-0.61	0.38	-0.23	0.17	0.08	0.27	0.2	0.07	0.04	-0.52	-0.39	0.27	0.08	0.07
YKR034W	-0.06	0.08	0.06	-0.22	-0.03	0.12	-0.06	0.11	0.11	-0.06	-0.28	0.28	0.03	-0.07	-0.17	0.28	-0.01	-0.18
YKR033C	-0.2	0.19	0.155	0.12	0.0	0.38	-0.01	0.18	0.0	-0.08	-0.26	0.15	0.22	-0.18	-0.65	0.05	0.15	-0.07
